system   D            wsystem.c:583  maybe_parent_dir                 [   0.00133] Also searching C:\Users\Rafal\Documents\GitHub\pwAsteroids\build\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00222] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00228] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.05107] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   5.04744] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   5.04756] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   5.05014] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   5.05019] al_display=0118B5C8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   5.05023] al_display->vt=0114EBE0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   5.08401] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   5.08419] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08426] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08430] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08435] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08443] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08447] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08452] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08456] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08461] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08470] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08474] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08478] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08482] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08487] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08490] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08495] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08499] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08503] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08512] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08516] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08534] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   5.08539] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   5.08544] Score is : 897
